setting,model,fold,alpha
setting1,LM0,1,0.0001
setting1,LM0,2,0.0001
setting1,LM0,3,10000.0
setting1,LM0,4,1000.0
setting1,LM0,5,10000.0
setting1,LM1,1,10.0
setting1,LM1,2,10.0
setting1,LM1,3,10.0
setting1,LM1,4,10.0
setting1,LM1,5,10.0
setting1,LM2,1,0.1
setting1,LM2,2,1.0
setting1,LM2,3,1.0
setting1,LM2,4,1.0
setting1,LM2,5,1.0
setting1,LM3,1,1.0
setting1,LM3,2,1.0
setting1,LM3,3,1.0
setting1,LM3,4,1.0
setting1,LM3,5,1.0
setting1,LM4,1,10.0
setting1,LM4,2,10.0
setting1,LM4,3,10.0
setting1,LM4,4,10.0
setting1,LM4,5,10.0
setting1,LM5,1,10.0
setting1,LM5,2,10.0
setting1,LM5,3,10.0
setting1,LM5,4,10.0
setting1,LM5,5,10.0
setting2,LM0,1,10000.0
setting2,LM0,2,100.0
setting2,LM0,3,0.1
setting2,LM0,4,100.0
setting2,LM0,5,10.0
setting2,LM1,1,10.0
setting2,LM1,2,10.0
setting2,LM1,3,10.0
setting2,LM1,4,10.0
setting2,LM1,5,10.0
setting2,LM4,1,100.0
setting2,LM4,2,100.0
setting2,LM4,3,100.0
setting2,LM4,4,100.0
setting2,LM4,5,100.0
setting2,LM5,1,100.0
setting2,LM5,2,100.0
setting2,LM5,3,100.0
setting2,LM5,4,100.0
setting2,LM5,5,100.0
